p, k, b/c, n, result
0.02,3.9,2.1, 328, 0
0.02,4.38,2.1, 24, 0
0.02,4.1,2.1, 330, 0
0.02,4.02,2.1, 121, 0
0.02,4.06,2.1, 123, 0
0.02,4.44,2.1, 120, 0
0.02,3.8,2.1, 345, 0
0.02,3.74,2.1, 58, 0
0.02,3.64,2.1, 20, 0
0.02,3.76,2.1, 503, 0
0.02,3.94,2.1, 2631, 0
0.02,3.58,2.1, 58, 0
0.02,4.02,2.1, 12, 0
0.02,3.68,2.1, 379, 0
0.02,3.94,2.1, 207, 0
0.02,4.04,2.1, 3990, 0
0.02,3.58,2.1, 58, 0
0.02,4.1,2.1, 99, 0
0.02,4.16,2.1, 16, 0
0.02,3.88,2.1, 8, 0
0.02,3.54,2.1, 142, 0
0.02,3.64,2.1, 65, 0
0.02,3.92,2.1, 80, 0
0.02,3.92,2.1, 1384, 0
0.02,3.86,2.1, 1, 0
0.02,4.28,2.1, 138, 0
0.02,3.78,2.1, 68, 0
0.02,3.58,2.1, 865, 0
0.02,3.7,2.1, 19, 0
0.02,3.98,2.1, 10000, 25
0.02,4.54,2.1, 277, 0
0.02,4.06,2.1, 157, 0
0.02,3.68,2.1, 262, 0
0.02,3.66,2.1, 15, 0
0.02,3.74,2.1, 33, 0
0.02,4.04,2.1, 539, 0
0.02,4.06,2.1, 848, 0
0.02,3.64,2.1, 366, 0
0.02,4.04,2.1, 66, 0
0.02,3.7,2.1, 2563, 0
0.02,3.88,2.1, 22, 0
0.02,4.12,2.1, 30, 0
0.02,4.06,2.1, 10, 0
0.02,3.84,2.1, 203, 0
0.02,3.56,2.1, 10000, 10
0.02,3.28,2.1, 47, 0
0.02,3.96,2.1, 8, 0
0.02,3.48,2.1, 54, 0
0.02,4.08,2.1, 29, 0
0.02,4.14,2.1, 102, 0
0.02,4.18,2.1, 50, 0
0.02,3.98,2.1, 60, 0
0.02,3.88,2.1, 55, 0
0.02,4.02,2.1, 2079, 0
0.02,3.84,2.1, 222, 0
0.02,3.88,2.1, 2047, 0
0.02,3.98,2.1, 220, 0
